Date,HDFCBANK.NS,ICICIBANK.NS,KOTAKBANK.NS,SBIN.NS,YESBANK.NS,BAJFINANCE.NS,INDUSINDBK.NS,AXISBANK.NS,PNB.NS,RBLBANK.NS,,,,,,,,,,,,,,,,
01-11-2024,1039.974976,364.5,1257.050049,296.8999939,195.8999939,2575,1507.900024,720.75,78,568.9000244,,,,,,,,,,,,,,,,
02-11-2024,1043.125,352.0499878,1221.699951,270.5499878,234.8999939,2663.300049,1481.699951,713.5,73,580,,,,,,,,,,,,,,,,
03-11-2024,1162.625,401.4500122,1336,321.7999878,276,3030.199951,1797,780.9500122,96.09999847,681.9500122,,,,,,,,,,,,,,,,
04-11-2024,1158.724976,407.5,1386.550049,309.9500122,168,3095.949951,1606.5,766.8499756,84.90000153,678.8499756,,,,,,,,,,,,,,,,
05-11-2024,1213.5,426,1513.199951,352.3500061,148,3460,1600.099976,813.5499878,80.69999695,685.4000244,,,,,,,,,,,,,,,,
06-11-2024,1228,439.5,1486.900024,362.7999878,109.5,3688.699951,1427.900024,810.75,80,639.7999878,,,,,,,,,,,,,,,,
07-11-2024,1114.550049,423.25,1505.949951,330.7999878,88.94999695,3231,1390.099976,673.9500122,69,395,,,,,,,,,,,,,,,,
08-11-2024,1113.974976,409.6499939,1431.449951,273.8500061,59.95000076,3332.5,1395.75,663.9000244,64.90000153,327.2000122,,,,,,,,,,,,,,,,
09-11-2024,1231.5,436.9500122,1638.800049,272.75,42,4080,1397,687.0999756,62.95000076,331.5,,,,,,,,,,,,,,,,
10-11-2024,1239,466.6499939,1572,312.3999939,71,4029,1328,736,65.59999847,312,,,,,,,,,,,,,,,,
11-11-2024,1273.949951,513.4500122,1614.5,343.8999939,69,4075,1592,739.25,65.65000153,372.9500122,,,,,,,,,,,,,,,,
12-11-2024,1276.099976,539.9000244,1689,334.7000122,46.95000076,4237.799805,1512,754.9000244,64.5,346,,,,,,,,,,,,,,,,
13-11-2024,1220,524,1684,317.9500122,39.15000153,4350,1249.949951,728.5499878,60.45000076,320,,,,,,,,,,,,,,,,
14-11-2024,1200.199951,508.25,1631,311,35.20000076,4600,1130,709.2999878,46.29999924,299.0499878,,,,,,,,,,,,,,,,
15-11-2024,863.8499756,319,1294.900024,194,22,2180,386.3999939,376.25,32.5,137.5,,,,,,,,,,,,,,,,
16-11-2024,1001.799988,380.1499939,1357.199951,190.5,27.89999962,2318.100098,468.1499939,444.8999939,32.29999924,132.1499939,,,,,,,,,,,,,,,,
17-11-2024,975,339,1249,164,27.54999924,1997.050049,402.2999878,394.2999878,27.39999962,122.0500031,,,,,,,,,,,,,,,,
18-11-2024,1065.849976,354.25,1319,179.4499969,25.75,2831,480.5,410,35,175,,,,,,,,,,,,,,,,
19-11-2024,1025.949951,346.7999878,1356,192,12,3244,521.9500122,431.6000061,32,169.5,,,,,,,,,,,,,,,,
20-11-2024,1128,394.7000122,1419.849976,213.1000061,14.35000038,3517,638.0999756,495.0499878,35.20000076,196,,,,,,,,,,,,,,,,
21-11-2024,1090.099976,358.25,1280,187,13.30000019,3325,540,430.2000122,27.79999924,171.8999939,,,,,,,,,,,,,,,,
22-11-2024,1194.349976,417,1555,192.1999969,12.44999981,3325.550049,590,496.8500061,27.10000038,175.5,,,,,,,,,,,,,,,,
23-11-2024,1440.849976,479.7000122,1930,245,15.39999962,4951.200195,863,611,33.90000153,225.4499969,,,,,,,,,,,,,,,,
24-11-2024,1440,535.5499878,1996.900024,274.8999939,17.85000038,5310.200195,895,620.25,33.29999924,231.1000061,,,,,,,,,,,,,,,,
25-11-2024,1410.25,552,1730,285.1000061,16,4775,859,665,33.75,215.9499969,,,,,,,,,,,,,,,,
26-11-2024,1564,607.5499878,1811,395.1000061,15.94999981,5315,1075,738,41.40000153,239,,,,,,,,,,,,,,,,
27-11-2024,1499.400024,587.5499878,1770,367.7000122,15.64999962,5210,964,706.2999878,37,210.8999939,,,,,,,,,,,,,,,,
28-11-2024,1393,592.5499878,1735,349.6000061,12.85000038,5316.299805,929,706,34.5,183.6000061,,,,,,,,,,,,,,,,
29-11-2024,1520.300049,664.5499878,1815,426.0499878,13.5,5644,1016,753.5499878,42.54999924,215.1000061,,,,,,,,,,,,,,,,
30-11-2024,1502,633.9500122,1709.900024,420.2999878,13.55000019,6040,1011,750,42.40000153,211.6000061,,,,,,,,,,,,,,,,
01-12-2024,1435,684.0499878,1665,434.75,12.85000038,6270,991.7999878,715,39.75,194,,,,,,,,,,,,,,,,
02-12-2024,1575,727.5999756,1753.75,427.5,10.80000019,7525,994,798.0999756,36.59999847,166.5500031,,,,,,,,,,,,,,,,
03-12-2024,1583,693,1997,448.5,12.5,7620,1104,763.4000244,39.95000076,188.0500031,,,,,,,,,,,,,,,,
04-12-2024,1585,807.7000122,2055,508.5,12.85000038,7430,1158,755,42.54999924,182,,,,,,,,,,,,,,,,
05-12-2024,1495,716.4000244,1979,464.4500122,12.25,7032.200195,891,664.9000244,37.40000153,183.5,,,,,,,,,,,,,,,,
06-12-2024,1485,743.0499878,1797,462,13.69999981,6975,888.2000122,680.25,37.29999924,126.8000031,,,,,,,,,,,,,,,,
07-12-2024,1508.5,802.0499878,1882,543.9500122,13.39999962,7075.899902,879,778.0999756,41.79999924,149.8500061,,,,,,,,,,,,,,,,
08-12-2024,1426.25,742.7000122,1842.75,483.2000122,13.25,7002.299805,920.7000122,742.4000244,34.90000153,133.3500061,,,,,,,,,,,,,,,,
09-12-2024,1476.400024,725,1749.300049,491,12.25,7229.950195,929.4500122,760,35.09999847,130,,,,,,,,,,,,,,,,
10-12-2024,1362.050049,732,1765.550049,492.6499939,14.25,6550,972,722,34.90000153,120,,,,,,,,,,,,,,,,
11-12-2024,1380,748,1840,468,13.14999962,6060,930.8499756,683,31.35000038,112.5,,,,,,,,,,,,,,,,
12-12-2024,1343.949951,703.4500122,1645,463.3500061,12.64999962,5364,793,633,29.04999924,82.94999695,,,,,,,,,,,,,,,,
13-12-2024,1439,820.7000122,1815,529.0499878,15.80000019,7251.049805,1040,726,31.54999924,92.59999847,,,,,,,,,,,,,,,,
14-12-2024,1464.75,863,1875,522.25,16.35000038,7228.600098,1097.650024,733.5,35.45000076,122.5,,,,,,,,,,,,,,,,
15-12-2024,1409.949951,859.7000122,1808,527.5999756,15.64999962,7337,1178,731,36.59999847,112.75,,,,,,,,,,,,,,,,
16-12-2024,1503.5,921,1908,576.3499756,15.60000038,7196.950195,1146.5,904,43.20000076,136.1999969,,,,,,,,,,,,,,,,
17-12-2024,1622,956,1955,607.8499756,17.20000076,6754.600098,1175,909.5,51.75,154.6000061,,,,,,,,,,,,,,,,
18-12-2024,1627,894,1827.800049,614.9500122,20.85000038,6565,1220.099976,932.25,56.79999924,180.5500031,,,,,,,,,,,,,,,,
19-12-2024,1624,843.4500122,1745,561.4000244,17.29999924,5944,1094,876.2999878,54.25,157.8000031,,,,,,,,,,,,,,,,
20-12-2024,1612,864,1729.25,523.25,17.54999924,6100.100098,1077.050049,846.0499878,48.34999847,155.6999969,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
